"회사명 : (주)에바스코스메틱"
"품목구분	","BOM버전	","생산품목명	","소모품목코드	","소모품목명	","품목구분	","소요량	","생산품목코드	","입고단가	","구매처명	","구매처코드	","적요	","규격명	",""
"[부재료]	","기본	","샤샤 녹두 시카 클렌징 폼	","SXC-1354	","(간지)샤샤_녹두 시카 클렌징 폼 220ml	","[제품]	","17.000000","AOFC001	","194.000000","명진포장(주)	","1348684568	","	","485*365*230, 1세트=2개=194원, 1박스에 2개 필요	",""
"[반제품]	","기본	","샤샤 라이스 크림 클렌징 폼	","PAOFC0020	","샤샤 라이스 크림 클렌징 폼	","[제품]	","1,000.000000","AOFC002	","","	","	","	","220ML	",""
"[부재료]	","기본	","샤샤 라이스 크림 클렌징 폼	","SXA-1354	","(대박스)샤샤_녹두 시카 클렌징 폼 220ml	","[제품]	","17.000000","AOFC002	","788.000000","명진포장(주)	","1348684568	","	","485*365*230, 60개입	",""
"[부재료]	","기본	","샤샤 라이스 크림 클렌징 폼	","SXC-1354	","(간지)샤샤_녹두 시카 클렌징 폼 220ml	","[제품]	","17.000000","AOFC002	","194.000000","명진포장(주)	","1348684568	","	","485*365*230, 1세트=2개=194원, 1박스에 2개 필요	",""
"[반제품]	","기본	","샤샤 아르간오일 단백질 헤어 앰플	","PAOHA0010	","샤샤 아르간오일 단백질 헤어 앰플 150ML	","[제품]	","1,000.000000","AOHA001	","","	","	","	","150ml	",""
"[부재료]	","기본	","샤샤 아르간오일 단백질 헤어 앰플	","SXB-0294	","(칸사리)밸르모나 아유르베딕 두피 솔루션 블랙커민 샴푸액 (100ML)	","[제품]	","14.000000","AOHA001	","307.000000","수영페이퍼 유한회사	","6888702454	","	","80개입 (435*355*180)	",""
"[부재료]	","기본	","샤샤 아르간오일 단백질 헤어 앰플	","SXA-7077	","(대박스)밸르모나 아유르베딕 두피 솔루션 블랙커민 샴푸액 (100ML)	","[제품]	","14.000000","AOHA001	","936.000000","수영페이퍼 유한회사	","6888702454	","	","80개입 (450*370*200)	",""
"[반제품]	","기본	","샤샤 아르간오일 단백질 헤어 앰플 (세트)	","PAOHAM010	","샤샤 아르간오일 단백질 헤어 앰플 15ML	","[제품]	","5,000.000000","AOHA5T1	","","	","	","	","15ml	",""
"[부재료]	","기본	","샤샤 아르간오일 단백질 헤어 앰플 (세트)	","SKA-7314	","[단상자]샤샤 아르간오일 단백질 헤어 앰플 (세트)	","[제품]	","1,000.000000","AOHA5T1	","161.000000","	","	","	","15ml*5개 세트단상자	",""
"[반제품]	","기본	","샤샤 아르간오일 단백질 헤어 앰플	","PAOHAM010	","샤샤 아르간오일 단백질 헤어 앰플 15ML	","[제품]	","1,000.000000","AOHAM01	","","	","	","	","15ml	",""
"[부재료]	","기본	","샤샤 아르간오일 단백질 헤어 앰플	","SXA-7022	","(대박스)휘핑보다1.5CM높은박스 (29번)	","[제품]	","17.000000","AOHAM01	","720.000000","명진포장(주)	","1348684568	","	","510*325*200, 29번박스, 기존 박스 배합 SKSSSK > 변경 배합 SKKSKK	",""
"[반제품]	","기본	","샤샤 아르간오일 스타일 컬링 에센스	","PAOHE0000	","샤샤 아르간오일 스타일 컬링 에센스	","[제품]	","1,000.000000","AOHE000	","","	","	","	","250ML	",""
"[반제품]	","기본	","샤샤 아르간오일 웨이브 볼륨 에센스	","PAOHE0010	","샤샤 아르간오일 웨이브 볼륨 에센스	","[제품]	","1,000.000000","AOHE001	","","	","	","	","250ml	",""
"[부재료]	","기본	","샤샤 아르간오일 웨이브 볼륨 에센스	","SXA-3131	","(대박스)샤샤 아르간 볼륨 오일 박스(로에랑스 미스트, 페디슨 거품형 공용) 30번 박스	","[제품]	","20.000000","AOHE001	","743.000000","명진포장(주)	","1348684568	","	","510*325*225, 30번 박스, 기존 박스 배합 SKSSSK > 변경 배합 SKKSKK	",""
"[반제품]	","기본	","샤샤 아르간 오일 헤어 세럼	","PAOHSR000	","샤샤 아르간 오일 헤어 세럼	","[제품]	","1,000.000000","AOHSR00	","","	","	","	","200ML	",""
"[부재료]	","기본	","샤샤 아르간 오일 헤어 세럼	","SXA-7022	","(대박스)휘핑보다1.5CM높은박스 (29번)	","[제품]	","14.000000","AOHSR00	","720.000000","명진포장(주)	","1348684568	","	","510*325*200, 29번박스, 기존 박스 배합 SKSSSK > 변경 배합 SKKSKK	",""
"[반제품]	","기본	","샤샤 아르간 오일 컨디셔너	","PAORS0000	","샤샤아르간린스	","[제품]	","1,000.000000","AORS000	","","	","	","	","	",""
"[부재료]	","기본	","샤샤 아르간 오일 컨디셔너	","SXA-9400	","샤샤아르간샴푸린스박스	","[제품]	","84.000000","AORS000	","730.000000","(주)유진포장	","1338120794	","	","400*300*300	",""
"[부재료]	","기본	","샤샤 아르간 오일 컨디셔너	","SXC-0042	","(패드)샤샤아르간샴푸린스	","[제품]	","84.000000","AORS000	","85.000000","(주)유진포장	","1338120794	","	","	",""
"[반제품]	","기본	","샤샤 아르간오일 어성초 엘피피 프로테인 헤어팩	","PAORS0010	","샤샤 아르간오일 어성초 엘피피 프로테인 헤어팩	","[제품]	","1,000.000000","AORS001	","","	","	","	","	",""
"[부재료]	","기본	","샤샤 아르간오일 어성초 엘피피 프로테인 헤어팩	","SXA-9400	","샤샤아르간샴푸린스박스	","[제품]	","84.000000","AORS001	","730.000000","(주)유진포장	","1338120794	","	","400*300*300	",""
"[반제품]	","기본	","샤샤 알로에베라 앤 프로폴리스 컨디셔너	","PAORS0040	","샤샤 알로에베라 앤 프로폴리스 컨디셔너 1500ml	","[제품]	","1,000.000000","AORS004	","","	","	","	","	",""
"[부재료]	","기본	","샤샤 알로에베라 앤 프로폴리스 컨디셔너	","SXA-9400	","샤샤아르간샴푸린스박스	","[제품]	","84.000000","AORS004	","730.000000","(주)유진포장	","1338120794	","	","400*300*300	",""
"[부재료]	","기본	","샤샤 알로에베라 앤 프로폴리스 컨디셔너	","SXC-0042	","(패드)샤샤아르간샴푸린스	","[제품]	","84.000000","AORS004	","85.000000","(주)유진포장	","1338120794	","	","	",""
"[반제품]	","기본	","샤샤 아르간 오일 컨디셔너	","PAORSM000	","샤샤 아르간 오일 컨디셔너	","[제품]	","1,000.000000","AORSM00	","","	","	","	","500ml	",""
"[부재료]	","기본	","샤샤 아르간 오일 컨디셔너	","SXA-8791	","(대박스)미미로린스쿠팡납품용대박스	","[제품]	","34.000000","AORSM00	","618.000000","명진포장(주)	","1348684568	","	","30개입 (395*330*250), 28번 박스	",""
"[부재료]	","기본	","샤샤 아르간 오일 컨디셔너	","SXC-0041	","(패드)미미로린스쿠팡납품용패드	","[제품]	","34.000000","AORSM00	","94.000000","명진포장(주)	","1348684568	","	","30개입 (380*315*0)	",""
"[반제품]	","기본	","샤샤 아르간 오일 컨디셔너	","PAORST000	","샤샤 아르간 오일 컨디셔너 100ML	","[제품]	","1,000.000000","AORST00	","","	","	","	","100ml / 튜브	",""
"[부재료]	","기본	","샤샤 아르간 오일 컨디셔너	","SXB-0294	","(칸사리)밸르모나 아유르베딕 두피 솔루션 블랙커민 샴푸액 (100ML)	","[제품]	","13.000000","AORST00	","307.000000","수영페이퍼 유한회사	","6888702454	","	","80개입 (435*355*180)	",""
"[부재료]	","기본	","샤샤 아르간 오일 컨디셔너	","SXA-7077	","(대박스)밸르모나 아유르베딕 두피 솔루션 블랙커민 샴푸액 (100ML)	","[제품]	","13.000000","AORST00	","936.000000","수영페이퍼 유한회사	","6888702454	","	","80개입 (450*370*200)	",""
"[반제품]	","기본	","샤샤 아르간 오일 샴푸	","PAOSP0000	","샤샤아르간샴푸	","[제품]	","1,000.000000","AOSP000	","","	","	","	","	",""
"[부재료]	","기본	","샤샤 아르간 오일 샴푸	","SXA-9400	","샤샤아르간샴푸린스박스	","[제품]	","84.000000","AOSP000	","730.000000","(주)유진포장	","1338120794	","	","400*300*300	",""
"[부재료]	","기본	","샤샤 아르간 오일 샴푸	","SXC-0042	","(패드)샤샤아르간샴푸린스	","[제품]	","84.000000","AOSP000	","85.000000","(주)유진포장	","1338120794	","	","	",""
"[반제품]	","기본	","샤샤 아르간오일 진저 쿨링 케어 샴푸	","PAOSP0020	","샤샤 아르간오일 진저 쿨링 케어 샴푸	","[제품]	","1,000.000000","AOSP002	","","	","	","	","1000 ml	",""
"[부재료]	","기본	","샤샤 아르간오일 진저 쿨링 케어 샴푸	","SXA-8791	","(대박스)미미로린스쿠팡납품용대박스	","[제품]	","72.000000","AOSP002	","618.000000","명진포장(주)	","1348684568	","	","30개입 (395*330*250), 28번 박스	",""
"[부재료]	","기본	","샤샤 아르간오일 진저 쿨링 케어 샴푸	","SXC-0041	","(패드)미미로린스쿠팡납품용패드	","[제품]	","72.000000","AOSP002	","94.000000","명진포장(주)	","1348684568	","	","30개입 (380*315*0)	",""
"[반제품]	","기본	","샤샤 아르간 오일 어성초 캡슐 스크럽 샴푸	","PAOSP0030	","샤샤 아르간 오일 어성초 캡슐 스크럽 샴푸	","[제품]	","1,000.000000","AOSP003	","","	","	","	","	",""
